X,Y,OBJECTID_1,year,month,day,hour,minute,second,lat,lon,depth,magnitude,OBJECTID
-13135701.2665,4028802.6722,1,1769,7,28,99,99,99.99,34,-118,99,6,1
-13580979.3346,4467021.6748,2,1781,10,9,99,99,99.99,37.2,-122,99,5.5,2
-13533111.9423,4421002.5997,3,1800,10,11,99,99,99.99,36.87,-121.57,99,5.5,3
-13113437.3551,3882038.7686,4,1800,11,22,21,30,9900,32.9,-117.8,99,6.3,4
-13146833.2193,4055689.5089,5,1803,4,99,99,99,99.99,34.2,-118.1,99,5.5,5
-13035513.6974,3868787.9235,6,1803,5,25,99,99,99.99,32.8,-117.1,99,5.5,6
-13324944.4357,4082640.1919,7,1806,3,25,8,99,99.99,34.4,-119.7,99,5.5,7
-13647771.0467,4551211.6074,8,1808,6,21,99,99,99.99,37.8,-122.6,99,5.5,8
-13096739.4414,4078593.5079,9,1812,12,8,15,99,99.99,34.37,-117.65,99,7.5,9
-13336076.3846,4055689.4957,10,1812,12,21,19,99,99.99,34.2,-119.8,99,7.1,10
-13341642.3633,4102895.5005,11,1821,1,1,99,99,99.99,34.55,-119.85,99,6.3,11
-13614375.1857,4453055.355,12,1825,9,0,99,99,99.99,37.1,-122.3,99,5.5,12
-13636639.0953,4544169.8343,13,1827,4,3,99,99,99.99,37.75,-122.5,99,5.5,13
-13247020.7756,4028802.6647,14,1827,9,24,4,99,99.99,34,-119,99,6,14
-13430697.9781,4211547.7113,15,1830,99,99,99,99,99.99,35.35,-120.65,99,6,15
-13525319.5771,4425177.9075,16,1836,6,10,15,30,99.99,36.9,-121.5,99,6.4,16
-13597677.262,4481006.5047,17,1838,6,99,99,99,99.99,37.3,-122.15,99,7.4,17
-13525319.5765,4418219.9731,18,1840,1,18,99,99,99.99,36.85,-121.5,99,6.5,18
-13525319.5762,4414742.7125,19,1841,7,3,22,7,99.99,36.825,-121.5,99,6,19
-13519753.6006,4411266.5883,20,1841,7,29,8,15,99.99,36.8,-121.45,99,5.8,20
-13302680.5946,4793548.2182,21,1852,1,1,99,99,99.99,39.5,-119.5,0,7.3,21
-12801742.7231,3829124.4694,22,1852,11,29,20,0,99.99,32.5,-115,0,6.5,22
-13480791.7604,4259420.6235,23,1853,2,1,99,99,99.99,35.7,-121.1,0,5.5,23
-13447395.914,4335076.4098,24,1853,9,2,99,99,99.99,36.25,-120.8,0,6.3,24
-13825882.3019,4982887.0482,25,1853,10,23,11,0,99.99,40.8,-124.2,0,5.5,25
-13324944.4361,4089387.9179,26,1854,5,31,12,50,99.99,34.45,-119.7,0,6,26
-13436263.9621,4321281.4897,27,1855,1,14,2,30,99.99,36.15,-120.7,0,5.5,27
-13391736.2018,4793548.2091,28,1855,1,25,6,0,99.99,39.5,-120.3,0,6,28
-13146833.2183,4042238.1473,29,1855,7,11,4,15,99.99,34.1,-118.1,0,6,29
-13636639.0998,4593562.8015,30,1855,8,27,11,0,99.99,38.1,-122.5,0,5.5,30
-13636639.0896,4481006.5012,31,1856,1,2,18,15,99.99,37.3,-122.5,0,5.7,31
-13614375.1906,4509032.0776,32,1856,2,15,13,25,99.99,37.5,-122.3,0,5.9,32
-12990985.8959,3908585.4604,33,1856,9,21,7,30,99.99,33.1,-116.7,0,5.5,33
-13447395.9134,4328176.7466,34,1857,1,9,16,24,99.99,36.2,-120.8,0,7.9,34
-13430697.9861,4314390.6268,35,1857,1,9,99,99,99.99,36.1,-120.65,0,6.1,35
-13452961.8898,4340599.319,36,1857,1,9,99,99,99.99,36.29,-120.85,0,5.6,36
-13214738.1252,4131314.4023,37,1857,1,10,6,40,99.99,34.76,-118.71,0,5.6,37
-13140154.0516,4098841.5379,38,1857,1,16,99,99,99.99,34.52,-118.04,0,6.3,38
-13358340.3463,4764736.3048,39,1857,9,3,3,5,99.99,39.3,-120,0,6.3,39
-13558715.4368,4509032.0826,40,1858,11,26,8,35,99.99,37.5,-121.8,0,6.2,40
-13068909.5624,4055689.5143,41,1858,12,16,10,0,99.99,34.2,-117.4,0,6,41
-13302680.5946,4793548.2182,42,1860,3,15,19,0,99.99,39.5,-119.5,0,6.5,42
-13464093.8414,4348888.9944,43,1860,4,17,3,30,99.99,36.35,-120.95,0,6,43
-13825882.3019,4982887.0482,44,1860,11,13,99,99,99.99,40.8,-124.2,0,5.5,44
-13575413.3662,4544169.8399,45,1861,7,4,0,11,99.99,37.75,-121.95,0,5.8,45
-13041079.671,3835725.8074,46,1862,5,27,20,0,99.99,32.55,-117.15,0,6.2,46
-13035513.6943,3815932.749,47,1863,6,25,99,99,99.99,32.4,-117.1,0,5.8,47
-13536451.5316,4467021.6787,48,1864,2,26,13,47,99.99,37.2,-121.6,0,6.1,48
-13565394.6079,4516050.1912,49,1864,3,5,16,49,99.99,37.55,-121.86,0,6,49
-13569847.3889,4523073.0097,50,1864,5,21,2,1,99.99,37.6,-121.9,0,5.8,50
-13558715.4319,4453055.3599,51,1865,5,24,11,21,99.99,37.1,-121.8,0,5.9,51
-13825882.3019,4982887.0482,52,1865,10,1,17,15,99.99,40.8,-124.2,0,5.5,52
-13569847.3838,4467021.6758,53,1865,10,8,20,46,99.99,37.2,-121.9,0,6.5,53
-13547583.48,4439107.4672,54,1866,3,26,20,12,99.99,37,-121.7,0,5.8,54
-13525319.587,4537132.8269,55,1866,7,15,6,30,99.99,37.7,-121.5,0,6,55
-13324944.4935,4764736.3082,56,1868,5,30,5,10,99.99,39.3,-119.7,0,6,56
-13324944.4838,4664536.6295,57,1868,9,17,16,55,99.99,38.6,-119.7,0,5.6,57
-13592111.2917,4537132.8207,58,1868,10,21,15,53,99.99,37.7,-122.1,0,7,58
-13703430.818,4736006.5631,59,1869,10,8,9,30,99.99,39.1,-123.1,0,5.6,59
-13324944.495,4779131.9357,60,1869,12,27,1,55,99.99,39.4,-119.7,0,6.4,60
-13358340.3492,4793548.2124,61,1869,12,27,5,50,99.99,39.5,-120,0,5.5,61
-13336076.4416,4736006.6001,62,1869,12,27,10,0,99.99,39.1,-119.8,0,6.2,62
-13580979.3333,4453055.3579,63,1870,2,17,20,12,99.99,37.1,-122,0,5.9,63
-13614375.1957,4565309.4752,64,1870,4,2,19,48,99.99,37.9,-122.3,0,5.8,64
-13825882.2953,4924241.3106,65,1871,3,2,21,5,99.99,40.4,-124.2,0,6.3,65
-13135701.2907,4355801.9664,66,1871,7,5,21,6,99.99,36.4,-118,0,5.5,66
-13146833.2451,4397373.4519,67,1872,3,26,10,30,99.99,36.7,-118.1,0,7.6,67
-13157965.1984,4425177.9391,68,1872,3,26,14,6,99.99,36.9,-118.2,0,6.8,68
-13157965.1995,4439107.5009,69,1872,4,3,12,15,99.99,37,-118.2,0,6.3,69
-13191361.0584,4509032.1155,70,1872,4,11,19,0,99.99,37.5,-118.5,0,6.8,70
-12801742.727,3895304.6077,71,1872,5,3,1,0,99.99,33,-115,0,5.8,71
-13135701.3377,4865943.068,72,1873,11,5,17,0,99.99,40,-118,0,5.5,72
-13825882.3227,5160980.201,73,1873,11,23,5,0,99.99,42,-124.2,0,6.9,73
-13414000.114,4895049.2045,74,1875,1,24,12,0,99.99,40.2,-120.5,0,6.2,74
-13803618.3988,4968192.6623,75,1875,9,30,12,30,99.99,40.7,-124,0,5.9,75
-12857402.4785,3829124.466,76,1875,11,15,22,30,99.99,32.5,-115.5,0,6.2,76
-13391736.1539,4259420.6306,77,1877,5,30,10,30,99.99,35.7,-120.3,0,5.5,77
-13358340.342,4721672.3144,78,1877,7,10,7,10,99.99,39,-120,0,5.5,78
-13937201.8016,4924241.2983,79,1878,5,9,4,25,99.99,40.4,-125.2,0,7,79
-13180229.0767,4123187.3685,80,1880,4,12,4,30,99.99,34.7,-118.4,0,5.9,80
-13024381.7566,4028802.6798,81,1880,11,22,4,0,99.99,34,-117,0,5.5,81
-13024381.7566,4028802.6798,82,1880,12,19,23,35,99.99,34,-117,0,5.9,82
-13580979.3733,4865943.021,83,1881,1,7,2,25,99.99,40,-122,0,5.6,83
-13419566.0347,4307504.1481,84,1881,2,2,0,11,99.99,36.05,-120.55,0,6,84
-13642205.0502,4307504.13,85,1881,2,2,5,0,99.99,36.05,-122.55,0,5.5,85
-13503055.6804,4481006.5132,86,1881,4,10,10,0,99.99,37.3,-121.3,0,6.3,86
-13419566.0347,4307504.1481,87,1881,5,6,13,45,99.99,36.05,-120.55,0,5.5,87
-13480791.7692,4369641.1855,88,1882,3,6,21,45,99.99,36.5,-121.1,0,5.9,88
-13569847.3826,4453055.3588,89,1882,6,27,13,22,99.99,37.1,-121.9,0,5.8,89
-13525319.5759,4411266.5878,90,1883,3,30,15,45,99.99,36.8,-121.5,0,6,90
-13280416.637,4150300.4896,91,1883,9,5,12,30,99.99,34.9,-119.3,0,5.8,91
-13759090.6028,5027103.5948,92,1884,1,28,7,30,99.99,41.1,-123.6,0,6.1,92
-13608809.2091,4439107.4618,93,1884,3,26,0,40,99.99,37,-122.25,0,5.9,93
-13425132.0681,4924241.3545,94,1885,1,31,5,45,99.99,40.4,-120.6,0,6.1,94
-13491923.7224,4397373.4228,95,1885,3,31,7,56,99.99,36.7,-121.2,0,5.7,95
-13480791.7704,4383498.318,96,1885,4,2,15,25,99.99,36.6,-121.1,0,5.9,96
-13302680.5396,4163881.8005,97,1885,4,7,10,30,99.99,35,-119.5,0,5.5,97
-13447395.9134,4328176.7466,98,1885,4,12,4,5,99.99,36.2,-120.8,0,6.5,98
-13124569.3069,3895304.5878,99,1885,9,13,12,34,99.99,33,-117.9,0,5.8,99
-13336076.443,4750361.2297,100,1887,6,3,10,48,99.99,39.2,-119.8,0,6.5,100
-13759090.5729,4750361.1869,101,1888,2,18,10,50,99.99,39.2,-123.6,0,5.5,101
-13436264.0081,4822443.1374,102,1888,4,29,4,48,99.99,39.7,-120.7,0,6.2,102
-12990985.9045,4042238.1579,103,1889,2,7,5,20,99.99,34.1,-116.7,0,5.6,103
-13514187.6269,4432140.4034,104,1889,4,15,3,28,99.99,36.95,-121.4,0,5.5,104
-13558715.4446,4593562.8088,105,1889,5,19,11,10,99.99,38.1,-121.8,0,6,105
-13436264.0204,4938869.9443,106,1889,6,20,6,0,99.99,40.5,-120.7,0,6.2,106
-13603243.2436,4551211.6115,107,1889,7,31,12,47,99.99,37.8,-122.2,0,5.6,107
-13124569.3172,4055689.5104,108,1889,8,28,2,15,99.99,34.2,-117.9,0,5.6,108
-13213624.9567,4467021.7071,109,1889,9,30,5,20,99.99,37.2,-118.7,0,6,109
-12946458.0943,3948519.0719,110,1890,2,9,12,6,99.99,33.4,-116.3,0,6.8,110
-13536451.5279,4425177.9066,111,1890,4,24,11,36,99.99,36.9,-121.6,0,6.3,111
-13825882.2969,4938869.9013,112,1890,7,26,9,40,99.99,40.5,-124.2,0,6.3,112
-13558715.4344,4481006.5081,113,1891,1,2,20,0,99.99,37.3,-121.8,0,5.8,113
-12801742.7194,3763311.2475,114,1891,7,30,14,10,99.99,32,-115,0,6,114
-13625507.1518,4621893.5672,115,1891,10,12,6,28,99.99,38.3,-122.4,0,5.8,115
-12874100.4054,3835725.8174,116,1892,2,24,7,20,99.99,32.55,-115.65,0,7.3,116
-13580979.3501,4636088.2337,117,1892,4,19,10,50,99.99,38.4,-122,0,6.6,117
-13569847.4008,4650302.5466,118,1892,4,21,17,43,99.99,38.5,-121.9,0,6.4,118
-13558715.4486,4636088.2359,119,1892,4,30,0,9,99.99,38.4,-121.8,0,5.6,119
-12935326.1415,3921881.4475,120,1892,5,28,11,15,99.99,33.2,-116.2,0,6.5,120
-13080041.5134,4055689.5135,121,1892,6,14,13,25,99.99,34.2,-117.5,0,5.5,121
-13514187.6246,4404317.7414,122,1892,11,13,12,45,99.99,36.75,-121.4,0,5.9,122
-13202492.9748,4069156.831,123,1893,4,4,19,40,99.99,34.3,-118.6,0,5.8,123
-13291548.5801,4042238.1374,124,1893,5,19,0,35,99.99,34.1,-119.4,0,5.8,124
-13658903.0053,4636088.2262,125,1893,8,9,9,15,99.99,38.4,-122.7,0,5.6,125
-13091173.4653,4069156.8389,126,1894,7,30,5,12,99.99,34.3,-117.6,0,6.2,126
-13859278.1457,4909634.4294,127,1894,9,30,17,36,99.99,40.3,-124.5,0,6.5,127
-13002117.8445,3868787.9255,128,1894,10,23,23,3,99.99,32.8,-116.8,0,6.1,128
-13302680.5904,4750361.2331,129,1894,11,18,10,49,99.99,39.2,-119.5,0,5.5,129
-13169097.147,4397373.4501,130,1896,8,17,11,30,99.99,36.7,-118.3,0,6.3,130
-13525319.5783,4439107.469,131,1897,6,20,20,14,99.99,37,-121.5,0,6.3,131
-13636639.1012,4607718.4562,132,1898,3,31,7,43,99.99,38.2,-122.5,0,6.4,132
-13781354.4743,4750361.1847,133,1898,4,15,7,7,99.99,39.2,-123.8,0,6.7,133
-14003993.515,5012342.3792,134,1899,4,16,13,40,99.99,41,-125.8,0,7,134
-13536451.5274,4418219.9722,135,1899,4,30,22,41,99.99,36.85,-121.6,0,6,135
-13636639.0947,4537132.8166,136,1899,6,2,7,19,99.99,37.7,-122.5,0,5.6,136
-13514187.6263,4425177.9085,137,1899,7,6,20,10,99.99,36.9,-121.4,0,5.8,137
-13068909.5624,4055689.5143,138,1899,7,22,0,46,99.99,34.2,-117.4,0,5.9,138
-13080041.5143,4069156.8396,139,1899,7,22,20,32,99.99,34.3,-117.5,0,6.4,139
-13024381.7548,4001979.0726,140,1899,12,25,12,25,99.99,33.8,-117,0,6.7,140
-13414000.0588,4300622.0417,141,1901,3,3,7,45,99.99,36,-120.5,0,6.4,141
-13580979.3488,4621893.5716,142,1902,5,19,18,31,99.99,38.3,-122,0,5.5,142
-13402868.0953,4136735.6941,143,1902,7,28,6,57,99.99,34.8,-120.4,0,5.8,143
-13391736.1435,4123187.3531,144,1902,7,31,9,20,99.99,34.7,-120.3,0,5.8,144
-13536451.5187,4314390.6182,145,1903,3,25,7,45,99.99,36.1,-121.6,0,5.9,145
-13558715.4331,4467021.6768,146,1903,6,11,13,12,99.99,37.2,-121.8,0,6.1,146
-13558715.4344,4481006.5081,147,1903,8,3,6,49,99.99,37.3,-121.8,0,6.2,147
-13213624.9376,4232039.1367,148,1905,1,6,14,30,99.99,35.5,-118.7,0,5,148
-13425132.0151,4369641.1902,149,1905,5,26,2,50,99.99,36.5,-120.6,0,6.1,149
-13224756.8864,4204725.7199,150,1905,12,23,22,23,99.99,35.3,-118.8,0,5.8,150
-13636639.0947,4537132.8166,151,1906,4,18,13,12,21,37.7,-122.5,0,7.8,151
-12857402.4817,3882038.7842,152,1906,4,19,0,30,99.99,32.9,-115.5,0,6.2,152
-13859278.1572,5012342.3959,153,1906,4,23,9,10,99.99,41,-124.5,0,6.4,153
-13491923.7091,4232039.1153,154,1906,12,7,6,40,99.99,35.5,-121.2,0,5.7,154
-13970597.655,4938869.8852,155,1907,8,11,12,19,99.99,40.5,-125.5,0,6.4,155
-13035513.7095,4055689.5165,156,1907,9,20,1,54,99.99,34.2,-117.1,0,5.8,156
-13380604.202,4245721.3241,157,1908,4,27,10,50,99.99,35.6,-120.2,0,5.5,157
-13803618.4005,4982887.0508,158,1908,8,18,10,59,99.99,40.8,-124,0,5.8,158
-13024381.7764,4300622.0728,159,1908,11,4,8,37,99.99,36,-117,0,6,159
-13458527.9055,4779131.9221,160,1909,3,3,12,0,99.99,39.4,-120.9,0,5,160
-13469659.8576,4793548.2011,161,1909,6,23,7,24,99.99,39.5,-121,0,5.9,161
-13825882.2969,4938869.9013,162,1909,10,29,6,45,99.99,40.5,-124.2,0,6,162
-13547583.4793,4432140.4005,163,1910,3,11,6,52,99.99,36.95,-121.7,0,5.8,163
-13914937.894,4865942.9851,164,1910,3,19,0,11,99.99,40,-125,0,6,164
-12968721.9971,3961860.8632,165,1910,4,11,7,57,99.99,33.5,-116.5,0,5.8,165
-13182455.4956,4485205.6149,166,1910,5,6,16,40,99.99,37.33,-118.42,0,6,166
-13068909.5579,3988590.7828,167,1910,5,13,6,20,99.99,33.7,-117.4,0,5,167
-13068909.5579,3988590.7828,168,1910,5,15,15,47,99.99,33.7,-117.4,0,6,168
-13024381.7936,4509032.1303,169,1910,11,7,17,20,99.99,37.5,-117,0,5.5,169
-13135701.3099,4579426.5522,170,1910,11,19,2,25,99.99,38,-118,0,5.5,170
-13135701.3099,4579426.5522,171,1910,11,21,23,23,99.99,38,-118,0,6.1,171
-13135701.3099,4579426.5522,172,1910,11,22,6,5,99.99,38,-118,0,5.5,172
-13592111.2805,4411266.582,173,1910,12,31,12,11,99.99,36.8,-122.1,0,5.7,173
-13553149.4584,4474011.7729,174,1911,7,1,22,0,99.99,37.25,-121.75,0,6.4,174
-13182455.4956,4485205.6149,175,1912,1,5,3,52,99.99,37.33,-118.42,0,5.5,175
-13336076.4474,4793548.2148,176,1914,2,18,18,17,99.99,39.5,-119.8,0,5.6,176
-13336076.4474,4793548.2148,177,1914,4,24,8,34,99.99,39.5,-119.8,0,6,177
-13358340.3492,4793548.2124,178,1914,4,27,5,53,99.99,39.5,-120,0,5,178
-13580979.3343,4462829.8398,179,1914,11,9,2,31,99.99,37.17,-122,0,5.5,179
-13380604.1918,4109655.3757,180,1915,1,12,4,31,99.99,34.6,-120.2,0,5.7,180
-13302680.5817,4661688.2353,181,1915,4,5,23,11,99.99,38.58,-119.5,0,5,181
-13226983.2849,4311635.526,182,1915,5,29,6,46,99.99,36.08,-118.82,0,5,182
-12857402.4809,3868787.9343,183,1915,6,23,3,59,99.99,32.8,-115.5,0,6,183
-12857402.4809,3868787.9343,184,1915,6,23,4,56,99.99,32.8,-115.5,0,5.9,184
-12801742.7194,3763311.2475,185,1915,11,21,0,13,42,32,-115,0,6.6,185
-14026257.4161,5012342.3766,186,1915,12,31,12,20,99.99,41,-126,0,6.5,186
-13497489.6975,4393208.9981,187,1916,8,6,19,38,99.99,36.67,-121.25,0,5.8,187
-12924194.1905,3921881.4482,188,1916,9,30,2,11,99.99,33.2,-116.1,0,5.7,188
-13247020.7838,4143516.0383,189,1916,10,23,2,44,99.99,34.85,-119,0,5.5,189
-12990985.9159,4204725.7376,190,1916,11,10,9,11,99.99,35.3,-116.7,0,5.9,190
-13135701.3377,4865943.068,191,1917,4,11,19,0,99.99,40,-118,0,5.1,191
-12835138.5787,3868787.9356,192,1917,5,28,6,6,99.99,32.8,-115.3,0,5.5,192
-13024381.7543,3995282.9775,193,1918,4,21,22,32,25,33.75,-117,0,6.8,193
-12846270.5282,3842330.8494,194,1918,5,1,4,32,99.99,32.6,-115.4,0,5.6,194
-12990985.9001,3975218.0759,195,1918,6,6,22,32,99.99,33.6,-116.7,0,5.5,195
-13914937.9103,5012342.3894,196,1918,7,15,0,23,99.99,41,-125,0,6.5,196
-13269284.6861,4150300.4905,197,1919,2,16,15,57,99.99,34.9,-119.2,0,5.7,197
-12801742.7239,3842330.8519,198,1919,10,1,19,30,99.99,32.6,-115,0,5.9,198
-13302680.5779,4621893.5979,199,1919,12,19,13,59,99.99,38.3,-119.5,0,5.2,199
-12990985.8967,3921881.4439,200,1920,1,1,2,35,0,33.2,-116.7,0,5,200
-12857402.4778,3815932.7594,201,1921,9,8,19,24,0,32.4,-115.5,0,5.5,201
-14026257.4161,5012342.3766,202,1922,1,26,9,31,20,41,-126,0,6,202
-13970597.6632,5012342.3831,203,1922,1,31,13,17,22,41,-125.5,0,7.3,203
-13386170.179,4266276.7261,204,1922,3,10,11,21,20,35.75,-120.25,0,6.3,204
-13386170.179,4266276.7261,205,1922,8,18,5,12,0,35.75,-120.25,0,5.7,205
-13436263.9529,4204725.7038,206,1922,9,5,9,5,99.99,35.3,-120.7,0,5.5,206
-13414000.1439,5160980.2507,207,1923,1,11,4,29,0,42,-120.5,0,5,207
-13903805.9497,4924241.302,208,1923,1,22,9,4,18,40.4,-124.9,0,7.2,208
-13914937.9103,5012342.3894,209,1923,4,29,2,31,29,41,-125,0,5,209
-13052211.6342,4028802.6779,210,1923,7,23,7,30,26,34,-117.25,0,6.2,210
-12857402.4785,3829124.466,211,1923,11,5,22,7,0,32.5,-115.5,0,5,211
-12857402.4785,3829124.466,212,1923,11,7,23,57,0,32.5,-115.5,0,5.5,212
-13914937.9188,5086374.3851,213,1925,6,4,12,2,52,41.5,-125,0,6,213
-13336076.3855,4069156.8217,214,1925,6,29,14,42,16,34.3,-119.8,0,6.8,214
-13302680.5329,4069156.8241,215,1926,2,18,18,18,0,34.3,-119.5,0,5.5,215
-12913062.2463,4028802.6873,216,1926,4,3,20,8,0,34,-116,0,5.5,216
-13302680.5349,4096139.686,217,1926,6,29,23,21,0,34.5,-119.5,0,5.5,217
-13180229.088,4273137.1462,218,1926,6,30,13,31,0,35.8,-118.4,0,5.5,218
-13402868.1135,4369641.1921,219,1926,7,25,17,57,49,36.5,-120.4,15,5.8,219
-13603243.2281,4373796.4331,220,1926,10,22,12,35,7,36.53,-122.2,0,6.1,220
-13601016.8382,4376567.5005,221,1926,10,22,13,35,22,36.55,-122.18,0,6.1,221
-13604356.429,4441895.5714,222,1926,10,24,22,51,49.5,37.02,-122.21,0,5.8,222
-14026257.4119,4975537.069,223,1926,12,10,8,38,53,40.75,-126,0,6,223
-13402868.1124,4355801.9443,224,1926,12,27,9,19,0,36.4,-120.4,0,5.5,224
-12857402.4785,3829124.466,225,1927,1,1,8,16,45,32.5,-115.5,0,5.8,225
-12857402.4785,3829124.466,226,1927,1,1,9,13,30,32.5,-115.5,0,5.5,226
-13611035.5987,4432140.3949,227,1927,2,15,11,54,99.99,36.95,-122.27,0,5.9,227
-13609922.4036,4432140.3951,228,1927,2,15,23,54,3.5,36.95,-122.26,0,5,228
-13191361.0212,4028802.6684,229,1927,8,4,12,24,0,34,-118.5,0,5,229
-13870410.1078,5012342.3947,230,1927,8,20,20,5,44,41,-124.6,0,5,230
-13219190.9358,4509032.113,231,1927,9,18,2,7,7,37.5,-118.75,0,5.5,231
-13458527.8475,4109655.3701,232,1927,11,4,13,50,53,34.6,-120.9,0,7.1,232
-13653337.0501,4836921.9759,233,1928,4,15,21,57,15,39.8,-122.65,0,5.5,233
-13024381.766,4163881.8211,234,1928,9,5,14,42,0,35,-117,0,5.5,234
-12990985.9001,3975218.0759,235,1928,10,2,19,1,0,33.6,-116.7,0,5.5,235
-12970948.3995,4140803.4313,236,1929,9,26,20,0,22.7,34.83,-116.52,0,5.1,236
-13156852.0033,4425177.9392,237,1929,11,28,19,49,0,36.9,-118.19,0,5.5,237
-13013249.8074,4055689.5181,238,1930,1,16,0,24,33.9,34.2,-116.9,0,5.5,238
-13015476.1975,4052997.971,239,1930,1,16,0,34,3.6,34.18,-116.92,0,5.1,239
-12857402.4825,3895304.6043,240,1930,2,26,2,30,0,33,-115.5,0,5,240
-13302680.5349,4096139.686,241,1930,8,5,11,25,0,34.5,-119.5,0,5,241
-13205832.5569,4022090.8622,242,1930,8,31,0,40,36,33.95,-118.63,0,5.2,242
-13825882.3043,5004970.205,243,1930,9,23,2,58,0,40.95,-124.2,0,5.5,243
-13892673.9991,4924241.3033,244,1930,12,11,9,0,0,40.4,-124.8,0,5.5,244
-13914937.894,4865942.9851,245,1931,3,10,3,28,53,40,-125,0,5.6,245
-13981729.6007,4895049.1428,246,1931,8,23,18,1,35,40.2,-125.6,0,5.3,246
-13914937.9068,4982887.0381,247,1931,9,9,13,40,30,40.8,-125,0,5.8,247
-13469659.8128,4300622.0372,248,1932,2,26,16,58,0,36,-121,0,5,248
-13837014.2525,4982887.0471,249,1932,6,6,8,44,22,40.8,-124.3,0,6.4,249
-13135701.3198,4685924.9787,250,1932,12,21,6,10,5,38.75,-118,0,7.2,250
-13135701.3205,4693064.4031,251,1932,12,24,12,41,99.99,38.8,-118,0,5,251
-13135701.3205,4693064.4031,252,1932,12,25,3,55,99.99,38.8,-118,0,5.5,252
-13093399.8965,4582252.2712,253,1932,12,26,5,2,99.99,38.02,-117.62,0,5.3,253
-13135701.3205,4693064.4031,254,1932,12,29,6,21,99.99,38.8,-118,0,5.2,254
-13135701.3205,4693064.4031,255,1932,12,29,6,38,99.99,38.8,-118,0,5,255
-13135701.3205,4693064.4031,256,1932,12,29,6,46,99.99,38.8,-118,0,5,256
-13135701.3198,4685924.9787,257,1933,1,5,6,50,20,38.75,-118,0,5.9,257
-13132361.6779,3980565.2873,258,1933,3,11,1,54,9.5,33.64,-117.97,6,6.4,258
-13131248.4842,4001979.0655,259,1933,3,11,5,18,48.33,33.8,-117.96,6,5,259
-13134588.068,3979228.2493,260,1933,3,11,6,58,44.67,33.63,-117.99,6,5.28,260
-13283756.272,4733138.1241,261,1933,6,25,20,45,27,39.08,-119.33,0,6.1,261
-13175776.3371,4619057.0268,262,1934,1,30,20,16,31,38.28,-118.36,0,6.3,262
-13135701.3099,4579426.5522,263,1934,3,13,16,20,0,38,-118,0,5,263
-13390622.9597,4271764.7037,264,1934,6,8,4,47,48.95,35.79,-120.29,6,6,264
-13998427.544,5049287.5555,265,1934,7,6,22,48,0,41.25,-125.75,0,6.5,265
-12868534.4317,3864815.5867,266,1934,12,30,13,52,15.21,32.77,-115.6,6,6.5,266
-12860742.0639,3830444.4425,267,1934,12,31,18,45,49.8,32.51,-115.53,6,7,267
-13942767.7744,4902339.0898,268,1935,1,2,22,40,58,40.25,-125.25,0,5.8,268
-12824006.6214,3760686.2212,269,1935,2,24,1,45,0,31.98,-115.2,0,5.5,269
-13803618.4039,5012342.4023,270,1935,6,3,17,8,0,41,-124,0,5,270
